"nutrient_id"	"amount"	"fdc_id"	"name"	"unit_name"	"NDB_number"	"Food_Name"
1109	1.69	167640	"Vitamin E (alpha-tocopherol)"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1242	0	167640	"Vitamin E, added"	"MG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1106	6	167640	"Vitamin A, RAE"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1104	115	167640	"Vitamin A, IU"	"IU"	35155	"Blueberries, wild, raw (Alaska Native)†"
1190	33	167640	"Folate, DFE"	"UG"	35155	"Blueberries, wild, raw (Alaska Native)†"
1107	0	167654	"Carotene, beta"	"UG"	35184	"Smelt, dried (Alaska Native)"
1108	0	167654	"Carotene, alpha"	"UG"	35184	"Smelt, dried (Alaska Native)"
1120	0	167654	"Cryptoxanthin, beta"	"UG"	35184	"Smelt, dried (Alaska Native)"
1122	0	167654	"Lycopene"	"UG"	35184	"Smelt, dried (Alaska Native)"
1127	0	167654	"Tocopherol, delta"	"MG"	35184	"Smelt, dried (Alaska Native)"
1130	0	167654	"Tocotrienol, gamma"	"MG"	35184	"Smelt, dried (Alaska Native)"
1131	0	167654	"Tocotrienol, delta"	"MG"	35184	"Smelt, dried (Alaska Native)"
1165	0.073	167654	"Thiamin"	"MG"	35184	"Smelt, dried (Alaska Native)"
1166	0.262	167654	"Riboflavin"	"MG"	35184	"Smelt, dried (Alaska Native)"
1178	19.1	167654	"Vitamin B-12"	"UG"	35184	"Smelt, dried (Alaska Native)"
1184	0	167654	"Vitamin K (Dihydrophylloquinone)"	"UG"	35184	"Smelt, dried (Alaska Native)"
1185	0	167654	"Vitamin K (phylloquinone)"	"UG"	35184	"Smelt, dried (Alaska Native)"
1210	0.51	167654	"Tryptophan"	"G"	35184	"Smelt, dried (Alaska Native)"
1211	2.39	167654	"Threonine"	"G"	35184	"Smelt, dried (Alaska Native)"
1215	1.24	167654	"Methionine"	"G"	35184	"Smelt, dried (Alaska Native)"
1217	2.01	167654	"Phenylalanine"	"G"	35184	"Smelt, dried (Alaska Native)"
1218	1.57	167654	"Tyrosine"	"G"	35184	"Smelt, dried (Alaska Native)"
1222	3.52	167654	"Alanine"	"G"	35184	"Smelt, dried (Alaska Native)"
1224	6.66	167654	"Glutamic acid"	"G"	35184	"Smelt, dried (Alaska Native)"
1225	3.28	167654	"Glycine"	"G"	35184	"Smelt, dried (Alaska Native)"
1226	2.36	167654	"Proline"	"G"	35184	"Smelt, dried (Alaska Native)"
1246	0	167654	"Vitamin B-12, added"	"UG"	35184	"Smelt, dried (Alaska Native)"
1075	0	167654	"Galactose"	"G"	35184	"Smelt, dried (Alaska Native)"
1079	0	167654	"Fiber, total dietary"	"G"	35184	"Smelt, dried (Alaska Native)"
1089	5.4	167654	"Iron, Fe"	"MG"	35184	"Smelt, dried (Alaska Native)"
1090	89	167654	"Magnesium, Mg"	"MG"	35184	"Smelt, dried (Alaska Native)"
1091	1400	167654	"Phosphorus, P"	"MG"	35184	"Smelt, dried (Alaska Native)"
1093	420	167654	"Sodium, Na"	"MG"	35184	"Smelt, dried (Alaska Native)"
1098	0.148	167654	"Copper, Cu"	"MG"	35184	"Smelt, dried (Alaska Native)"
1101	0.72	167654	"Manganese, Mn"	"MG"	35184	"Smelt, dried (Alaska Native)"
1104	463	167654	"Vitamin A, IU"	"IU"	35184	"Smelt, dried (Alaska Native)"
1105	139	167654	"Retinol"	"UG"	35184	"Smelt, dried (Alaska Native)"
1003	56.19	167654	"Protein"	"G"	35184	"Smelt, dried (Alaska Native)"
1007	8.25	167654	"Ash"	"G"	35184	"Smelt, dried (Alaska Native)"
1009	0	167654	"Starch"	"G"	35184	"Smelt, dried (Alaska Native)"
1012	0	167654	"Fructose"	"G"	35184	"Smelt, dried (Alaska Native)"
1013	0	167654	"Lactose"	"G"	35184	"Smelt, dried (Alaska Native)"
1018	0	167654	"Alcohol, ethyl"	"G"	35184	"Smelt, dried (Alaska Native)"
1258	3.59	167654	"Fatty acids, total saturated"	"G"	35184	"Smelt, dried (Alaska Native)"
1261	0	167654	"SFA 8:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1263	0.01	167654	"SFA 12:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1264	0.76	167654	"SFA 14:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1272	1.22	167654	"PUFA 22:6 n-3 (DHA)"	"G"	35184	"Smelt, dried (Alaska Native)"
1273	0	167654	"SFA 22:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1274	0.03	167654	"MUFA 14:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1275	2.06	167654	"MUFA 16:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1278	0.91	167654	"PUFA 2:5 n-3 (EPA)"	"G"	35184	"Smelt, dried (Alaska Native)"
1280	0.14	167654	"PUFA 22:5 n-3 (DPA)"	"G"	35184	"Smelt, dried (Alaska Native)"
1300	0.19	167654	"SFA 17:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1301	0	167654	"SFA 24:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1312	0	167654	"MUFA 24:1 c"	"G"	35184	"Smelt, dried (Alaska Native)"
1323	0.09	167654	"MUFA 17:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1333	0	167654	"MUFA 15:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1411	0.007	167654	NA	NA	35184	"Smelt, dried (Alaska Native)"
1004	17.9	167654	"Total lipid (fat)"	"G"	35184	"Smelt, dried (Alaska Native)"
1010	0	167654	"Sucrose"	"G"	35184	"Smelt, dried (Alaska Native)"
1011	0	167654	"Glucose (dextrose)"	"G"	35184	"Smelt, dried (Alaska Native)"
1014	0	167654	"Maltose"	"G"	35184	"Smelt, dried (Alaska Native)"
1051	16.92	167654	"Water"	"G"	35184	"Smelt, dried (Alaska Native)"
1057	0	167654	"Caffeine"	"MG"	35184	"Smelt, dried (Alaska Native)"
1058	0	167654	"Theobromine"	"MG"	35184	"Smelt, dried (Alaska Native)"
2000	0	167654	NA	NA	35184	"Smelt, dried (Alaska Native)"
1087	1600	167654	"Calcium, Ca"	"MG"	35184	"Smelt, dried (Alaska Native)"
1092	1000	167654	"Potassium, K"	"MG"	35184	"Smelt, dried (Alaska Native)"
1095	6.7	167654	"Zinc, Zn"	"MG"	35184	"Smelt, dried (Alaska Native)"
1103	194	167654	"Selenium, Se"	"UG"	35184	"Smelt, dried (Alaska Native)"
1109	4.51	167654	"Vitamin E (alpha-tocopherol)"	"MG"	35184	"Smelt, dried (Alaska Native)"
1123	0	167654	"Lutein + zeaxanthin"	"UG"	35184	"Smelt, dried (Alaska Native)"
1125	0	167654	"Tocopherol, beta"	"MG"	35184	"Smelt, dried (Alaska Native)"
1126	0.08	167654	"Tocopherol, gamma"	"MG"	35184	"Smelt, dried (Alaska Native)"
1128	0	167654	"Tocotrienol, alpha"	"MG"	35184	"Smelt, dried (Alaska Native)"
1129	0	167654	"Tocotrienol, beta"	"MG"	35184	"Smelt, dried (Alaska Native)"
1167	5.97	167654	"Niacin"	"MG"	35184	"Smelt, dried (Alaska Native)"
1170	2.29	167654	"Pantothenic acid"	"MG"	35184	"Smelt, dried (Alaska Native)"
1175	0.176	167654	"Vitamin B-6"	"MG"	35184	"Smelt, dried (Alaska Native)"
1183	1.6	167654	"Vitamin K (Menaquinone-4)"	"UG"	35184	"Smelt, dried (Alaska Native)"
1212	2.15	167654	"Isoleucine"	"G"	35184	"Smelt, dried (Alaska Native)"
1213	3.82	167654	"Leucine"	"G"	35184	"Smelt, dried (Alaska Native)"
1214	3.69	167654	"Lysine"	"G"	35184	"Smelt, dried (Alaska Native)"
1216	0.46	167654	"Cystine"	"G"	35184	"Smelt, dried (Alaska Native)"
